time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000018,-0.000002,-0.003921
0.010000,-0.000000,-0.000037,-0.000022,-0.006078
0.015000,-0.000000,-0.000075,-0.000074,-0.005279
0.020000,-0.000001,-0.000099,-0.000165,-0.008857
0.025000,-0.000002,-0.000149,-0.000283,-0.007787
0.030000,-0.000004,-0.000183,-0.000404,-0.007246
0.035000,-0.000006,-0.000224,-0.000506,-0.006087
0.040000,-0.000009,-0.000247,-0.000565,-0.005399
0.045000,-0.000012,-0.000276,-0.000565,-0.005192
0.050000,-0.000014,-0.000293,-0.000496,-0.002077
0.055000,-0.000017,-0.000309,-0.000357,-0.004812
0.060000,-0.000018,-0.000332,-0.000150,-0.005890
0.065000,-0.000018,-0.000362,0.000116,-0.007463
0.070000,-0.000016,-0.000392,0.000439,-0.006188
0.075000,-0.000013,-0.000421,0.000838,-0.003383
0.080000,-0.000007,-0.000428,0.001304,0.000085
0.085000,0.000001,-0.000426,0.001813,0.000454
0.090000,0.000011,-0.000416,0.002362,0.002302
0.095000,0.000025,-0.000403,0.002889,0.000903
0.100000,0.000041,-0.000396,0.003360,0.001572
0.105000,0.000059,-0.003219,0.003796,0.109693
0.110000,0.000079,-0.002778,0.004169,0.109047
0.115000,0.000101,-0.002132,0.004422,0.107862
0.120000,0.000123,-0.001701,0.004476,0.106918
0.125000,0.000145,-0.001054,0.004257,0.109330
0.130000,0.000165,-0.000615,0.003719,0.109417
0.135000,0.000181,0.000044,0.002830,0.110049
0.140000,0.000191,0.000481,0.001543,0.107700
0.145000,0.000194,0.001123,-0.000119,0.104580
0.150000,0.000188,0.001540,-0.002104,0.103126
0.155000,0.000170,0.002149,-0.004379,0.097372
0.160000,0.000141,0.002539,-0.006954,0.095309
0.165000,0.000098,0.003108,-0.009759,0.091943
0.170000,0.000040,0.003470,-0.012758,0.085545
0.175000,-0.000033,0.003972,-0.015890,0.080510
0.180000,-0.000122,0.004290,-0.019219,0.078150
0.185000,-0.000229,0.004760,-0.022675,0.076660
0.190000,-0.000353,0.005057,-0.026207,0.070816
0.195000,-0.000495,0.005474,-0.029880,0.067094
0.200000,-0.000656,0.005737,-0.033753,0.064753
0.205000,-0.000836,-0.010568,-0.037442,0.016074
0.210000,-0.001034,-0.010511,-0.040973,0.010461
0.215000,-0.001248,-0.010455,-0.044205,0.008665
0.220000,-0.001478,-0.010421,-0.047156,0.006600
0.225000,-0.001722,-0.010391,-0.049781,0.002802
0.230000,-0.001978,-0.010384,-0.052158,-0.002054
0.235000,-0.002245,-0.010393,-0.054202,-0.001587
0.240000,-0.002521,-0.010404,-0.055848,-0.004082
0.245000,-0.002805,-0.010424,-0.057178,-0.003079
0.250000,-0.003094,-0.010430,-0.058208,-0.003986
0.255000,-0.003387,-0.010461,-0.058985,-0.005681
0.260000,-0.003684,-0.010474,-0.059427,-0.005363
0.265000,-0.003981,-0.010510,-0.059488,-0.008468
0.270000,-0.004278,-0.010546,-0.059183,-0.007765
0.275000,-0.004572,-0.010597,-0.058573,-0.009959
0.280000,-0.004862,-0.010639,-0.057654,-0.012277
0.285000,-0.005147,-0.010718,-0.056444,-0.013576
0.290000,-0.005425,-0.010775,-0.055005,-0.015473
0.295000,-0.005695,-0.010867,-0.053296,-0.013647
0.300000,-0.005956,-0.010914,-0.051433,-0.011187
0.305000,-0.006207,-0.028390,-0.049281,-0.035059
0.310000,-0.006446,-0.028535,-0.046877,-0.033231
0.314999,-0.006673,-0.028724,-0.044258,-0.031376
0.319999,-0.006885,-0.028849,-0.041386,-0.029658
0.324999,-0.007083,-0.029024,-0.038302,-0.024727
0.329999,-0.007265,-0.029119,-0.034991,-0.023663
0.334999,-0.007429,-0.029249,-0.031228,-0.018195
0.339999,-0.007573,-0.029310,-0.027116,-0.014352
0.344999,-0.007695,-0.029389,-0.022532,-0.011586
0.349999,-0.007792,-0.029436,-0.017369,-0.011119
0.354999,-0.007863,-0.029493,-0.011934,-0.005983
0.359999,-0.007904,-0.029513,-0.005792,-0.002178
0.364999,-0.007913,-0.029519,0.000882,-0.000351
0.369999,-0.007888,-0.029516,0.007894,0.000608
0.374999,-0.007826,-0.029497,0.015465,0.009569
0.379999,-0.007725,-0.029454,0.023591,0.014783
0.384999,-0.007582,-0.029353,0.031888,0.022684
0.389999,-0.007397,-0.029261,0.040473,0.026235
0.394998,-0.007169,-0.029086,0.048772,0.034793
0.399998,-0.006902,-0.028922,0.056709,0.042545
0.404998,-0.006592,-0.022630,0.065584,0.110089
0.409998,-0.006236,-0.022190,0.074840,0.117450
0.414998,-0.005835,-0.021467,0.083728,0.126470
0.419998,-0.005390,-0.020959,0.092353,0.133588
0.424998,-0.004904,-0.020140,0.100705,0.143736
0.429998,-0.004376,-0.019558,0.108637,0.148378
0.434998,-0.003811,-0.018661,0.115641,0.152154
0.439998,-0.003214,-0.018046,0.121949,0.156692
0.444998,-0.002587,-0.017088,0.127489,0.164225
0.449998,-0.001935,-0.016432,0.132307,0.166585
0.454998,-0.001261,-0.015417,0.136347,0.174816
0.459998,-0.000569,-0.014713,0.139647,0.179506
0.464998,0.000137,-0.013627,0.142121,0.184471
0.469997,0.000853,-0.012864,0.143874,0.187496
0.474997,0.001576,-0.011744,0.144916,0.188479
0.479997,0.002302,-0.010970,0.145225,0.191683
0.484997,0.003027,-0.009830,0.144828,0.189661
0.489997,0.003748,-0.009077,0.143741,0.189912
0.494997,0.004462,-0.007954,0.142002,0.184180
0.499997,0.005165,-0.007216,0.139658,0.179307
0.504997,0.005854,-0.005814,0.136627,0.204944
0.509997,0.006527,-0.004999,0.133156,0.200759
0.514997,0.007181,-0.003801,0.129021,0.196652
0.519997,0.007812,-0.003018,0.124239,0.191960
0.524997,0.008418,-0.001881,0.119272,0.183626
0.529997,0.008999,-0.001152,0.114200,0.179396
0.534997,0.009555,-0.000089,0.108972,0.171154
0.539997,0.010083,0.000592,0.103425,0.166095
0.544997,0.010582,0.001569,0.097220,0.155204
0.549996,0.011048,0.002182,0.090573,0.150109
0.554996,0.011481,0.003054,0.083845,0.136938
0.559996,0.011880,0.003587,0.076868,0.129618
0.564996,0.012242,0.004350,0.069627,0.120512
0.569996,0.012569,0.004841,0.062508,0.114900
0.574996,0.012860,0.005507,0.055254,0.102755
0.579996,0.013113,0.005910,0.047366,0.095429
0.584996,0.013326,0.006466,0.039406,0.087968
0.589996,0.013499,0.006834,0.031406,0.082151
0.594996,0.013631,0.007302,0.023172,0.069649
0.599996,0.013723,0.007603,0.015209,0.061738
0.604996,0.013775,0.040159,0.007131,0.041555
0.609996,0.013787,0.040302,-0.000877,0.035082
0.614996,0.013758,0.040489,-0.008976,0.022626
0.619996,0.013689,0.040580,-0.016917,0.015474
0.624996,0.013581,0.040647,-0.024873,0.003245
0.629995,0.013433,0.040635,-0.032660,-0.002544
0.634995,0.013246,0.040602,-0.040601,-0.011190
0.639995,0.013018,0.040536,-0.048787,-0.018246
0.644995,0.012749,0.040402,-0.057345,-0.029530
0.649995,0.012436,0.040273,-0.066008,-0.037584
0.654995,0.012079,0.040035,-0.075129,-0.046265
0.659995,0.011674,0.039840,-0.084836,-0.053791
0.664995,0.011221,0.039490,-0.094574,-0.066078
0.669995,0.010717,0.039230,-0.104918,-0.075349
0.674995,0.010162,0.038748,-0.115208,-0.091061
0.679995,0.009556,0.038427,-0.125080,-0.097838
0.684995,0.008902,0.037813,-0.134616,-0.110812
0.689995,0.008201,0.037315,-0.143805,-0.118130
0.694995,0.007455,0.036581,-0.152691,-0.129481
0.699995,0.006666,0.036115,-0.161256,-0.137935
0.704994,0.005833,0.036750,-0.170179,-0.170213
0.709994,0.004955,0.036061,-0.179357,-0.177160
0.714994,0.004031,0.034963,-0.188416,-0.191610
0.719994,0.003062,0.034188,-0.197341,-0.200825
0.724994,0.002049,0.032957,-0.206033,-0.213061
