time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000028,0.300030
0.010000,0.000053,0.300057
0.015000,0.000103,0.300105
0.020000,0.000132,0.300143
0.025000,0.000195,0.300210
0.030000,0.000225,0.300260
0.035000,0.000259,0.300344
0.040000,0.000283,0.300407
0.045000,0.000317,0.300509
0.050000,0.000341,0.300583
0.055000,0.000375,0.300704
0.060000,0.000406,0.300790
0.065000,0.000452,0.300928
0.070000,0.000497,0.301027
0.075000,0.000589,0.301183
0.080000,0.000666,0.301293
0.085000,0.000793,0.301468
0.090000,0.000896,0.301590
0.095000,0.001079,0.301782
0.100000,0.001213,0.301916
0.105000,0.062813,0.297924
0.110000,0.062857,0.298004
0.115000,0.062929,0.298130
0.120000,0.062990,0.298217
0.125000,0.063055,0.298351
0.130000,0.063082,0.298444
0.135000,0.063133,0.298588
0.140000,0.063165,0.298686
0.145000,0.063241,0.298839
0.150000,0.063304,0.298944
0.155000,0.063376,0.299105
0.160000,0.063428,0.299216
0.165000,0.063541,0.299387
0.170000,0.063622,0.299504
0.175000,0.063701,0.299684
0.180000,0.063759,0.299806
0.185000,0.063903,0.299995
0.190000,0.064002,0.300124
0.195000,0.064150,0.300322
0.200000,0.064276,0.300457
0.205000,0.019413,0.296314
0.210000,0.019689,0.296412
0.215000,0.020134,0.296563
0.220000,0.020446,0.296665
0.225000,0.020953,0.296822
0.230000,0.021318,0.296928
0.235000,0.021877,0.297091
0.240000,0.022271,0.297202
0.245000,0.022864,0.297370
0.250000,0.023249,0.297485
0.255000,0.023879,0.297660
0.260000,0.024306,0.297779
0.265000,0.024907,0.297960
0.270000,0.025317,0.298082
0.275000,0.025919,0.298269
0.280000,0.026350,0.298396
0.285000,0.027014,0.298589
0.290000,0.027460,0.298720
0.295000,0.028180,0.298919
0.300000,0.028652,0.299054
0.305000,0.053709,0.294868
0.310000,0.054189,0.294975
0.314999,0.054915,0.295137
0.319999,0.055410,0.295247
0.324999,0.056159,0.295415
0.329999,0.056662,0.295528
0.334999,0.057406,0.295699
0.339999,0.057902,0.295816
0.344999,0.058628,0.295992
0.349999,0.059107,0.296111
0.354999,0.059791,0.296292
0.359999,0.060237,0.296415
0.364999,0.060927,0.296600
0.369999,0.061382,0.296726
0.374999,0.062058,0.296916
0.379999,0.062511,0.297045
0.384999,0.063160,0.297240
0.389999,0.063589,0.297372
0.394998,0.064224,0.297571
0.399998,0.064659,0.297706
0.404998,0.036224,0.293517
0.409998,0.036626,0.293629
0.414998,0.037232,0.293798
0.419998,0.037645,0.293912
0.424998,0.038252,0.294086
0.429998,0.038646,0.294202
0.434998,0.039234,0.294379
0.439998,0.039633,0.294499
0.444998,0.040232,0.294679
0.449998,0.040627,0.294801
0.454998,0.041219,0.294986
0.459998,0.041617,0.295110
0.464998,0.042224,0.295298
0.469997,0.042608,0.295425
0.474997,0.043209,0.295618
0.479997,0.043653,0.295747
0.484997,0.044343,0.295943
0.489997,0.044795,0.296075
